__label__cb	"Sentence: ""Tom Hardy Has Spoken Out About His Hilarious Old Myspace Photos For The First Time""   [− Tokens: 15]"
__label__not cb	"Sentence: ""Tropical storm hits Philippines , 45,000 people displaced""   [− Tokens: 8]"
__label__not cb	"Sentence: ""Taliban commander reportedly alive , despite claims of January death""   [− Tokens: 10]"
__label__not cb	"Sentence: ""With the No. 1 Pick in the N.B.A . Draft , the Clippers Select ...""   [− Tokens: 15]"
__label__not cb	"Sentence: ""Police detain Tsvangirai in Zimbabwe""   [− Tokens: 5]"
__label__not cb	"Sentence: ""Concerns Raised Over 2 Obama Advisers Tied to a Citigroup Unit that Lost Money""   [− Tokens: 14]"
__label__cb	"Sentence: ""16 Things Everyone With A January Birthday Knows To Be True""   [− Tokens: 11]"
__label__cb	"Sentence: ""This Artist Has Perfectly Reimagined Disney Animals With Human Personalities""   [− Tokens: 10]"
__label__not cb	"Sentence: ""WWE wrestler John Cena undergoes neck surgery after injury""   [− Tokens: 9]"
__label__cb	"Sentence: ""BuzzFeed Crossword : Kitchen Confidential""   [− Tokens: 5]"
__label__not cb	"Sentence: ""Smoke condition at Penn Station suspends LIRR""   [− Tokens: 7]"
__label__not cb	"Sentence: ""US - India nuclear deal sent for US Congress ratification""   [− Tokens: 10]"
__label__cb	"Sentence: ""This Crossword Is For Everyone Who 's Obsessed With Taylor Swift""   [− Tokens: 11]"
__label__cb	"Sentence: ""18 Notable Butts In Bosch 's "" Garden Of Earthly Delights """"   [− Tokens: 12]"
__label__cb	"Sentence: ""People Tried Salmon That Was Cooked In A Dishwasher""   [− Tokens: 9]"
__label__cb	"Sentence: ""Gay Men Asked Straight Men What They 've Always Wanted To Know""   [− Tokens: 12]"
__label__cb	"Sentence: ""Which ShondaLand Hunk Should You Date Based On Your Zodiac""   [− Tokens: 10]"
__label__not cb	"Sentence: ""Two Egyptian peacekeepers killed in Darfur by gunmen""   [− Tokens: 8]"
__label__cb	"Sentence: ""19 Things You Saw Every Single Time You Went To Grandma 's House""   [− Tokens: 13]"
__label__cb	"Sentence: ""These Retired Women Have Compiled Memory Boxes To Remind Them Of Their Lives""   [− Tokens: 13]"
__label__not cb	"Sentence: ""Sewerage project starts in Pakistan""   [− Tokens: 5]"
__label__cb	"Sentence: ""If "" Friends "" Quotes Were Children 's Book Covers""   [− Tokens: 10]"
__label__cb	"Sentence: ""How To Drink A Jammie Dodger""   [− Tokens: 6]"
__label__cb	"Sentence: ""Waka Flocka Flame Is Vegan Now And It 's Delightful""   [− Tokens: 10]"
__label__not cb	"Sentence: ""Austrian man kept daughter prisoner in cellar for 24 years""   [− Tokens: 10]"
__label__not cb	"Sentence: ""Italian university legislation sparks protests from students and staff""   [− Tokens: 9]"
__label__not cb	"Sentence: ""One third of English pubs allowed to extend their opening hours""   [− Tokens: 11]"
__label__cb	"Sentence: ""19 Body-Positive Books You 'll Want To Read With Your Daughter""   [− Tokens: 11]"
__label__not cb	"Sentence: ""The Popular Newsweekly Becomes a Lonely Category""   [− Tokens: 7]"
__label__not cb	"Sentence: ""George W. Bush endorses John McCain for US Presidency""   [− Tokens: 9]"
__label__cb	"Sentence: ""Olivia Wilde And Jason Sudeikis' V-Day Plans Will Make You Envious""   [− Tokens: 11]"
__label__cb	"Sentence: ""We Know Your Favorite Celebrity Based On Your Favorite "" Agents Of S.H.I.E.L.D . "" Character""   [− Tokens: 16]"
__label__cb	"Sentence: ""Nicki Minaj Just Got Into Another Twitter Feud""   [− Tokens: 8]"
__label__not cb	"Sentence: ""Shooting in German hospital , four killed""   [− Tokens: 7]"
__label__cb	"Sentence: ""10 Places To Travel In 2016""   [− Tokens: 6]"
__label__cb	"Sentence: ""15 Problems People Who Are Tired All The Time Know All Too Well""   [− Tokens: 13]"
__label__not cb	"Sentence: ""Obama succeeds Bush as 44th president of the United States""   [− Tokens: 10]"
__label__cb	"Sentence: ""Cheap Vs. Expensive Vodka Taste Test""   [− Tokens: 6]"
__label__cb	"Sentence: ""Which Hogwarts Houses Do These Pop Divas Belong In""   [− Tokens: 9]"
__label__not cb	"Sentence: ""New Bid to Find Missing Ex-F.B.I . Agent""   [− Tokens: 8]"
__label__cb	"Sentence: ""What Are You Like ... Sexually""   [− Tokens: 6]"
__label__not cb	"Sentence: ""Fourth Lebanon bomb rocks shopping mall""   [− Tokens: 6]"
__label__not cb	"Sentence: ""Fundosa ONCE defeats Servigest Burgos 80-20 in Spain 's top wheelchair basketball league""   [− Tokens: 13]"
__label__cb	"Sentence: ""19 Tweets About Nintendo That Will Make You Laugh""   [− Tokens: 9]"
__label__cb	"Sentence: ""Let Michael Ian Black Help You Be A Better Grown Up""   [− Tokens: 11]"
__label__cb	"Sentence: ""What Should You Bring To Your Friendsgiving""   [− Tokens: 7]"
__label__not cb	"Sentence: ""Jets Trade Up to Draft Mark Sanchez""   [− Tokens: 7]"
__label__not cb	"Sentence: ""Man takes armoured vehicle on rampage through Western Sydney""   [− Tokens: 9]"
__label__not cb	"Sentence: ""Premier League 2008 – 09 : Blackburn Rovers F.C. hire Ince""   [− Tokens: 11]"
__label__cb	"Sentence: ""What Should Your Resolution Be For 2016""   [− Tokens: 7]"
__label__cb	"Sentence: ""Show Us Your Biggest Halloween Costume Fail""   [− Tokens: 7]"
__label__cb	"Sentence: ""J.Lo Has A Sassy Hand Wave That Is The Most Relatable Thing Ever""   [− Tokens: 13]"
__label__not cb	"Sentence: ""Irish Guardian journalist reported missing in Iraq""   [− Tokens: 7]"
__label__cb	"Sentence: ""This Is For Everyone Who Dips Their Fries In Their Wendy 's Frosty""   [− Tokens: 13]"
__label__cb	"Sentence: ""What Brand Of Fast Food Nachos Is Best""   [− Tokens: 8]"
__label__not cb	"Sentence: ""The Invisible Hand , Trumped by Darwin ?""   [− Tokens: 8]"
__label__cb	"Sentence: ""The New Will Ferrell-Themed Bar In New York City Is Amazing""   [− Tokens: 11]"
__label__cb	"Sentence: ""Check Out These 5 Simple Tricks To Mess With Your Friends""   [− Tokens: 11]"
__label__cb	"Sentence: """" Hunger Games "" Stars Honor Paris Victims With Mockingjay Pins""   [− Tokens: 11]"
__label__cb	"Sentence: ""How Middle-Class Is Your Kitchen""   [− Tokens: 5]"
__label__cb	"Sentence: ""10 Bold New Hair Color Trends You Should Try In 2016""   [− Tokens: 11]"
__label__cb	"Sentence: ""Take This Makeup Picture Test To Determine Your Dominant Trait""   [− Tokens: 10]"
__label__not cb	"Sentence: ""Obama Pressures Wall Street Over Bonuses""   [− Tokens: 6]"
__label__not cb	"Sentence: ""Fifteen dead in Mexican car wash shooting""   [− Tokens: 7]"
__label__cb	"Sentence: ""People Who Are Always Cold , How Do You Stay Warm""   [− Tokens: 11]"
__label__not cb	"Sentence: ""Ghanaian presidential elections go to run-off""   [− Tokens: 6]"
__label__cb	"Sentence: ""26 Disney Characters Who Made You Hot And Bothered""   [− Tokens: 9]"
__label__cb	"Sentence: ""We Tried Flavoured Lube And This Is What Happened""   [− Tokens: 9]"
__label__cb	"Sentence: ""Being In A Relationship During The Holidays : Expectations Vs. Reality""   [− Tokens: 11]"
__label__not cb	"Sentence: ""Advertisers Change Game Plans for Super Bowl""   [− Tokens: 7]"
__label__not cb	"Sentence: ""News services and web companies increase Farsi services in light of Iranian political situation""   [− Tokens: 14]"
__label__not cb	"Sentence: ""BBC spends £ 3.4m on sell-off""   [− Tokens: 6]"
__label__not cb	"Sentence: ""Wikinews holds a follow-up interview with Kevin Baugh , president of the Republic of Molossia""   [− Tokens: 15]"
__label__cb	"Sentence: ""Honey Boo Boo Walking Through Beverly Hills Is The Most Honey Boo Boo Thing Ever""   [− Tokens: 15]"
__label__not cb	"Sentence: ""48 whales beached in New Zealand""   [− Tokens: 6]"
__label__cb	"Sentence: ""27 Insanely Delicious Salads You Need For Thanksgiving""   [− Tokens: 8]"
__label__not cb	"Sentence: ""NFL : Brett Favre traded to the New York Jets""   [− Tokens: 10]"
__label__cb	"Sentence: ""27 Next-Level Brownies You Need In Your Life""   [− Tokens: 8]"
__label__cb	"Sentence: ""A Bhopal Government Official Was Caught Watching Porn During A Council Meeting""   [− Tokens: 12]"
__label__not cb	"Sentence: ""Lobbyist Inquiry Appears to Be Widening""   [− Tokens: 6]"
__label__not cb	"Sentence: ""Toads cause traffic jam on British Columbia highway""   [− Tokens: 8]"
__label__not cb	"Sentence: ""Brampton MPP to hold community barbeque""   [− Tokens: 6]"
__label__cb	"Sentence: ""12 Stuffed Potatoes You Need To Make ASAP""   [− Tokens: 8]"
__label__cb	"Sentence: ""If "" Dragon Ball Z "" Characters Had Realistic Proportions""   [− Tokens: 10]"
__label__not cb	"Sentence: ""IAEA and its director ElBaradei are awarded the Nobel Peace Prize""   [− Tokens: 11]"
__label__cb	"Sentence: ""People Try Weird Peanut Butter Combinations""   [− Tokens: 6]"
__label__cb	"Sentence: ""Kelly Rowland 's Latest Instagram Pics Are The Epitome Of Black Girl Magic""   [− Tokens: 13]"
__label__cb	"Sentence: ""20 Times Frank Reynolds Was The Most Hilarious Character On "" It 's Always Sunny """"   [− Tokens: 16]"
__label__not cb	"Sentence: ""US Secretary of State Hillary Clinton criticizes Turkey over human rights concerns""   [− Tokens: 12]"
__label__cb	"Sentence: ""Are You Josh Flagg Or Josh Altman From "" Million Dollar Listing """"   [− Tokens: 13]"
__label__not cb	"Sentence: ""Cuba declines American help for damage caused by Hurricane Dennis""   [− Tokens: 10]"
__label__not cb	"Sentence: ""Cheney lobbies for CIA exemption to torture ban""   [− Tokens: 8]"
__label__cb	"Sentence: ""23 Magical Gifts Every Black Girl Deserves""   [− Tokens: 7]"
__label__not cb	"Sentence: ""Alex Sanchez suspended for drugs""   [− Tokens: 5]"
__label__cb	"Sentence: ""Here 's What Happens When You Photoshop Men Out Of The Workplace""   [− Tokens: 12]"
__label__cb	"Sentence: ""28 Wonderful Gifts For The Meme Lover In Your Life""   [− Tokens: 10]"
__label__not cb	"Sentence: ""U.S. Holds Recent Advantage in Meetings With Mexico""   [− Tokens: 8]"
__label__not cb	"Sentence: ""Army Stops Retiree Pay for Alaskans in World War II Force""   [− Tokens: 11]"
__label__not cb	"Sentence: ""Brazilian environmentalists tell residents to urinate in shower to save water""   [− Tokens: 11]"
__label__not cb	"Sentence: ""Oxford University anti-peer-to-peer policy hits legal music service Spotify""   [− Tokens: 9]"
__label__cb	"Sentence: ""Let 's All Take A Moment To Appreciate The Uncontested Queen That Is Julie Andrews""   [− Tokens: 15]"
__label__not cb	"Sentence: ""Parents of Terri Schiavo to sell list of supporters to marketing firm""   [− Tokens: 12]"
__label__not cb	"Sentence: ""No evidence of engine fire at Aeroflot-Nord Flight 821 crash site""   [− Tokens: 11]"
__label__cb	"Sentence: ""You Need To Listen To This Kanye West-Weezer Mashup Album""   [− Tokens: 10]"
__label__cb	"Sentence: ""Do You Belong In London Or San Francisco""   [− Tokens: 8]"
__label__not cb	"Sentence: ""Three battalions of the Royal Irish Regiment to disband as part of NI peace process""   [− Tokens: 15]"
__label__cb	"Sentence: ""24 Funniest Animal Posts On Tumblr In 2015""   [− Tokens: 8]"
__label__cb	"Sentence: ""This Might Be The Best Sweater For Breastfeeding Moms""   [− Tokens: 9]"
__label__cb	"Sentence: ""Where 's The Best Place To Buy Punk And Grunge Clothes""   [− Tokens: 11]"
__label__not cb	"Sentence: ""Another Los Angeles Times Promotion Draws Fire""   [− Tokens: 7]"
__label__not cb	"Sentence: ""Allegations of three candidates' drug ties resurface in Haitian presidential race""   [− Tokens: 11]"
__label__cb	"Sentence: ""23 Flaws Every Sneakerhead Has""   [− Tokens: 5]"
__label__not cb	"Sentence: ""UN nuclear chief says negotiations with Iran at ' dead end '""   [− Tokens: 12]"
__label__cb	"Sentence: ""21 Life Lessons Big Ang Taught Us All""   [− Tokens: 8]"
__label__cb	"Sentence: ""Should You Marry Kylo Ren Or Finn From "" Force Awakens """"   [− Tokens: 12]"
__label__not cb	"Sentence: ""Internet posting says al-Qaeda plans dirty bomb attack in New York City""   [− Tokens: 12]"
__label__not cb	"Sentence: ""Wife Seeks Voice in Stanford Ponzi Scheme Lawsuit""   [− Tokens: 8]"
__label__not cb	"Sentence: ""Foot-and-mouth source confirmed as research laboratory""   [− Tokens: 6]"
__label__not cb	"Sentence: ""Health Canada orders recall of contaminated toothpaste manufactured in India""   [− Tokens: 10]"
__label__cb	"Sentence: ""What Should All Newbies Should Know Before Hitting The Gym""   [− Tokens: 10]"
__label__cb	"Sentence: ""14 Confessions Of An Indian Drag Queen""   [− Tokens: 7]"
__label__not cb	"Sentence: ""UK lawyer comments on court case against Boeing over London jet crash""   [− Tokens: 12]"
__label__cb	"Sentence: ""Would You Survive One Day In The Enchanted Forest From "" Once Upon A Time """"   [− Tokens: 16]"
__label__not cb	"Sentence: ""Taliban Shift Forces , but Hold Pakistan Valley""   [− Tokens: 8]"
__label__not cb	"Sentence: ""At least nine dead after Indonesian ferry burns and sinks""   [− Tokens: 10]"
__label__not cb	"Sentence: ""Clinton Redefines Approach to Being Secretary of State""   [− Tokens: 8]"
__label__cb	"Sentence: ""21 Hilarious Tweets About Pizza""   [− Tokens: 5]"
__label__cb	"Sentence: ""Questions Gay People Have For Bisexual People""   [− Tokens: 7]"
__label__not cb	"Sentence: ""An Attractive Purchase , the Cubs Have Not Been an Easy Sale""   [− Tokens: 12]"
__label__cb	"Sentence: ""69 Excellent Indie Records You May Have Missed In 2015""   [− Tokens: 10]"
__label__not cb	"Sentence: ""Karzai blames U.S. and Britain for increased opium production""   [− Tokens: 9]"
__label__not cb	"Sentence: ""English Premier League 2007 / 08 : Kieron Dyer suffers suspected broken leg""   [− Tokens: 13]"
__label__cb	"Sentence: ""Here 's What You Need To Know About Getting Popular Tattoos""   [− Tokens: 11]"
__label__not cb	"Sentence: ""Gunman holds hostage in U.S. television station offices""   [− Tokens: 8]"
__label__cb	"Sentence: ""How Long Will It Take You To Put These Apple Products In Order""   [− Tokens: 13]"
__label__cb	"Sentence: ""26 People Who Had A Way Worse 2015 Than You""   [− Tokens: 10]"
__label__cb	"Sentence: ""Protomartyr 's Joe Casey Is n't Too Old For Indie Rock""   [− Tokens: 11]"
__label__not cb	"Sentence: ""Iranian President Asks Court to Reconsider Spy Case""   [− Tokens: 8]"
__label__not cb	"Sentence: ""CIA contractor released from Pakistan""   [− Tokens: 5]"
__label__cb	"Sentence: ""We Know Which Celeb You 'd Start A Twitter Feud With Based On This Emoji Test""   [− Tokens: 16]"
__label__not cb	"Sentence: ""6.4 magnitude earthquake rocks Andaman Islands""   [− Tokens: 6]"
__label__cb	"Sentence: ""Anna Camp And Skylar Astin Are Engaged So Everything Is Finally Right In The World""   [− Tokens: 15]"
__label__not cb	"Sentence: ""Financial Crisis Dims Hopes for Giant Cross-Border Banks in Europe""   [− Tokens: 10]"
__label__not cb	"Sentence: ""WWE Raw Results from Cincinnati , OH for September 22 , 2008""   [− Tokens: 12]"
__label__cb	"Sentence: ""Which Anchor From E ! News Are You""   [− Tokens: 8]"
__label__not cb	"Sentence: ""SEMI predicts Taiwan will become the second largest semiconductor industry market in 2007""   [− Tokens: 13]"
__label__cb	"Sentence: ""Can We Guess How Many People You Bonked In 2015""   [− Tokens: 10]"
__label__not cb	"Sentence: ""Russia and Cuba Sign Strategic Partnership""   [− Tokens: 6]"
__label__cb	"Sentence: ""Jessica Chastain Has Communed With Ghosts""   [− Tokens: 6]"
__label__cb	"Sentence: ""Why Working Out Does n't Have To Suck""   [− Tokens: 8]"
__label__cb	"Sentence: ""7 Essays To Read : Befriending Your Incarcerated Dad , Male-Brides , And Lamar Odom""   [− Tokens: 15]"
__label__not cb	"Sentence: ""NSW Premier Iemma quits , replaced by Rees""   [− Tokens: 8]"
__label__not cb	"Sentence: ""A Cash Machine Runs Low""   [− Tokens: 5]"
__label__not cb	"Sentence: ""Noosa get bonus point win against Nambour in round 18 of Sunshine Coast Rugby Union""   [− Tokens: 15]"
__label__cb	"Sentence: ""Can You Figure Out This Cards Against Humanity Crossword""   [− Tokens: 9]"
__label__not cb	"Sentence: ""In Iran , Journalism Makes Use of Unverified News""   [− Tokens: 9]"
__label__cb	"Sentence: ""Which Character From "" The Good Dinosaur "" Are You""   [− Tokens: 10]"
__label__not cb	"Sentence: ""Alaska Supreme Court rules in Senate election challenge""   [− Tokens: 8]"
__label__cb	"Sentence: ""A Penguin Is Beach Buddies With The Man Who Saved Him And It Will Melt Your Heart""   [− Tokens: 17]"
__label__not cb	"Sentence: ""New Zealand political party destroys leaked emails""   [− Tokens: 7]"
__label__not cb	"Sentence: ""Senate Undertakes Bipartisan Ways""   [− Tokens: 4]"
__label__not cb	"Sentence: ""One in five Americans finds socialism superior , poll says""   [− Tokens: 10]"
__label__not cb	"Sentence: ""I.R.S . Suspicions Grow on Secret Swiss Accounts""   [− Tokens: 8]"
__label__not cb	"Sentence: ""Guard of Key Witness Killed Before Terror Trial in Greece""   [− Tokens: 10]"
__label__cb	"Sentence: ""22 Struggles For Anyone Who Has Been Single For Too Long""   [− Tokens: 11]"
__label__not cb	"Sentence: ""Powerful car bomb blast hits Kabul , Afghanistan""   [− Tokens: 8]"
__label__cb	"Sentence: ""20 Things The World Would n't Have If Black People Did n't Exist""   [− Tokens: 13]"
__label__not cb	"Sentence: ""Wikinews interviews Amir Abbas Fakhravar about Iranian nuclear intentions""   [− Tokens: 9]"
__label__not cb	"Sentence: ""On YouTube and Hulu , Viewers Settle In for Longer Videos""   [− Tokens: 11]"
__label__cb	"Sentence: ""This Is What No One Tells You About Being Assaulted""   [− Tokens: 10]"
__label__cb	"Sentence: ""19 People Who Had The Hots For Martin O'Malley During The Democratic Debate""   [− Tokens: 13]"
__label__not cb	"Sentence: ""The Eyeshade Smelled Trouble""   [− Tokens: 4]"
__label__cb	"Sentence: ""I Do n't Need To Choose Between Black And White , And Neither Does My Hair""   [− Tokens: 16]"
__label__cb	"Sentence: ""We Tested Four Long-Wear Lipsticks To See Which One Lasted The Longest""   [− Tokens: 12]"
__label__not cb	"Sentence: ""Blast in Pakistan kills one , injures ten""   [− Tokens: 8]"
__label__not cb	"Sentence: ""Mindful of Violence , the N.F.L . Rules Out the Wedge Formation""   [− Tokens: 12]"
__label__not cb	"Sentence: ""Plan Would Limit Prison Chapel Books""   [− Tokens: 6]"
__label__not cb	"Sentence: ""A Quiet Hero of Civil Rights History , Vanished in 1939""   [− Tokens: 11]"
__label__cb	"Sentence: ""Which Kardashian / Jenner Are You Based On Your Birth Month""   [− Tokens: 11]"
__label__cb	"Sentence: ""20 Things You 've Always Wanted To Know About The 12th Doctor , As Told By Peter Capaldi""   [− Tokens: 18]"
__label__not cb	"Sentence: ""Zimbabwe Air Marshal shot""   [− Tokens: 4]"
__label__not cb	"Sentence: ""Heading European Parliament About Prestige , Not Power or Pay""   [− Tokens: 10]"
__label__cb	"Sentence: ""Everyone 's Freaking Out Over This Girl 's Amazing "" Sexy Gandalf "" Costume""   [− Tokens: 14]"
